Player Name,Position,Team,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Saved,Saves,Saves per 90
Karl Hein,GK,Arsenal,0,0,0,0,0,0,0
David Raya Martin,GK,Arsenal,34,0.89,35.03,0.92,0,86,2.26
Norberto Murara Neto,GK,Arsenal,2,1,2.91,1.46,0,11,5.5
Tommy Setford,GK,Arsenal,0,0,0,0,0,0,0
Jack Porter,GK,Arsenal,0,0,0,0,0,0,0
Joe Gauci,GK,Aston Villa,0,0,0,0,0,0,0
Filip Marschall,GK,Aston Villa,0,0,0,0,0,0,0
Emiliano Martínez Romero,GK,Aston Villa,47,1.32,44.99,1.27,1,100,2.82
Robin Olsen,GK,Aston Villa,6,2.4,5.5,2.2,0,8,3.2
Viljami Sinisalo,GK,Aston Villa,0,0,0,0,0,0,0
Oliwier Zych,GK,Aston Villa,0,0,0,0,0,0,0
Alex Paulsen,GK,Bournemouth,0,0,0,0,0,0,0
Mark Travers,GK,Bournemouth,5,1,7.36,1.47,0,20,4
Kepa Arrizabalaga,GK,Bournemouth,39,1.26,38.83,1.25,0,97,3.13
Will Dennis,GK,Bournemouth,0,0,0,0,0,0,0
Callan McKenna,GK,Bournemouth,0,0,0,0,0,0,0
Mark Flekken,GK,Brentford,55,1.51,54.82,1.51,0,153,4.2
Hákon Valdimarsson,GK,Brighton,2,1.25,1.49,0.93,0,3,1.88
Julian Eyestone,GK,Brentford,0,0,0,0,0,0,0
Jason Steele,GK,Brighton,1,0.5,1.88,0.94,0,3,1.5
Bart Verbruggen,GK,Brighton,58,1.61,53.1,1.48,0,91,2.53
Carl Rushworth,GK,Brighton,0,0,0,0,0,0,0
Killian Cahill,GK,Brighton,0,0,0,0,0,0,0
Lucas Bergström,GK,Chelsea,0,0,0,0,0,0,0
Marcus Bettinelli,GK,Chelsea,0,0,0,0,0,0,0
Djordje Petrovi?,GK,Chelsea,0,0,0,0,0,0,0
Robert Sánchez,GK,Chelsea,34,1.06,38.55,1.2,1,95,2.97
Filip Jørgensen,GK,Chelsea,9,1.5,8.83,1.47,0,20,3.33
Dean Henderson,GK,Crystal Palace,51,1.34,50.33,1.32,1,104,2.74
Remi Matthews,GK,Crystal Palace,0,0,0,0,0,0,0
Matt Turner,GK,Crystal Palace,0,0,0,0,0,0,0
João Neves Virgínia,GK,Everton,0,0,0,0,0,0,0
Jordan Pickford,GK,Everton,44,1.16,46.11,1.21,2,122,3.21
Asmir Begovic,GK,Everton,0,0,0,0,0,0,0
Steven Benda,GK,Fulham,0,0,0,0,0,0,0
Bernd Leno,GK,Fulham,54,1.42,47.75,1.26,1,110,2.89
Cieran Slicker,GK,Ipswich,0,0,0,0,0,0,0
Christian Walton,GK,Ipswich,19,2.71,13.88,1.98,0,20,2.86
Arijanet Muric,GK,Ipswich,33,1.83,36.12,2.01,0,70,3.89
Alex Palmer,GK,Ipswich,30,2.31,24.64,1.9,0,45,3.46
Mads Hermansen,GK,Leicester,58,2.19,55.09,2.08,1,103,3.89
Daniel Iversen,GK,Leicester,0,0,0,0,0,0,0
